,year,artist,song,points,duration
464,2013,twenty one pilots,Holding On To You,4303,263.733
465,2013,Volbeat,The Hangman's Body Count,4317,315.28
466,2013,The Civil Wars,The One That Got Away,4322,227.333
467,2013,Arcade Fire,Reflektor,4336,450.983
468,2013,Coldplay,Atlas,4344,227.68
469,2013,The Black Keys,Little Black Submarines,4364,251.266
470,2013,Lorde,400 Lux,4365,234.286
471,2013,Of Monsters And Men,Dirty Paws,4398,278.373
472,2013,Paramore,Now,4411,167.014
473,2013,The Killers,Shot At The Night,4415,242.506
474,2013,Lorde,Glory And Gore,4421,210.737
475,2013,The 1975,Chocolate,4426,224.64
476,2013,Lorde,Buzzcut Season,4441,246.755
477,2013,Goo Goo Dolls,Come To Me,4445,225.333
478,2013,Lorde,Ribs,4453,258.969
479,2013,Pearl Jam,Mind Your Manners,4463,196.653
480,2013,Grace Potter & The Nocturnals,Stars,4487,210.626
481,2013,Panic! At The Disco,This Is Gospel,4508,187.186
482,2013,Atlas Genius,If So,4513,180.053
483,2013,Avenged Sevenfold,Carry On,4532,323.0
484,2013,The Fray,Love Don't Die,4541,183.093
485,2013,Pop Evil,Trenches,4557,217.875
486,2014,Bastille,Pompeii,1124,214.147
487,2014,Paramore,Ain't It Fun,1415,296.52
488,2014,Vance Joy,Riptide,1449,204.28
489,2014,KONGOS,Come With Me Now,1465,159.333
490,2014,American Authors,Best Day Of My Life,1607,194.24
491,2014,Lorde,Team,1688,193.058
492,2014,Coldplay,A Sky Full Of Stars,1963,267.866
493,2014,Hozier,Take Me To Church,2286,241.693
494,2014,Milky Chance,Stolen Dance,2628,313.626
495,2014,Coldplay,Magic,2948,164.64
496,2014,Neon Trees,Sleeping With A Friend,2991,228.84
497,2014,The Black Keys,Fever,3021,172.106
498,2014,Lorde,Royals,3044,190.185
499,2014,Fitz And The Tantrums,The Walker,3067,233.133
500,2014,Big Data Featuring Joywave,Dangerous,3069,147.893
501,2014,Arctic Monkeys,Why'd You Only Call Me When You're High?,3081,161.123
502,2014,Bleachers,I Wanna Get Better,3133,204.52
503,2014,alt-J,Left Hand Free,3195,173.63
504,2014,The Pretty Reckless,Heaven Knows,3233,215.76
505,2014,Bastille,Bad Blood,3234,211.933
506,2014,Imagine Dragons,On Top Of The World,3247,189.84
507,2014,Passenger,Let Her Go,3296,252.733
508,2014,Dirty Heads,My Sweet Summer,3296,202.632
509,2014,O.A.R.,Peace,3387,257.962
510,2014,Ingrid Michaelson,Girls Chase Boys,3421,221.413
511,2014,Imagine Dragons,Demons,3430,175.2
512,2014,Imagine Dragons,Radioactive,3566,186.813
513,2014,Tove Lo,Habits (Stay High),3604,209.16
