,year,artist,song,points
389,2016,RUNAGROUND,Chase You Down,4428
390,2016,DVBBS & Shaun Frank Featuring Delaney Jane,La La Land,4464
391,2016,Kygo Featuring Ella Henderson,Here For You,4466
392,2016,Marshmello,Summer,4467
393,2016,Major Lazer & Showtek,Believer,4480
394,2016,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,4540
395,2016,Nause Featuring Pretty Sister,Dynamite,4547
396,2016,Lost Kings Featuring Emily Warren,Phone Down,4563
397,2016,StoneBridge Featuring Elsa Li Jones,If You Like It,4571
398,2016,Borgore & G-Eazy,Forbes,4578
399,2016,Louis The Child Featuring Evalyn,Fire,4585
400,2017,The Chainsmokers & Coldplay,Something Just Like This,984
401,2017,Kygo x Selena Gomez,It Ain't Me,1005
402,2017,Zedd & Alessia Cara,Stay,1067
403,2017,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,1078
404,2017,Cheat Codes Featuring Demi Lovato,No Promises,1800
405,2017,DJ Snake Featuring Justin Bieber,Let Me Love You,2144
406,2017,The Chainsmokers Featuring Halsey,Closer,2240
407,2017,Calvin Harris Featuring Frank Ocean & Migos,Slide,2471
408,2017,The Chainsmokers,Paris,2751
409,2017,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels,2784
410,2017,Clean Bandit Featuring Zara Larsson,Symphony,2796
411,2017,David Guetta Featuring Justin Bieber,2U,2904
412,2017,Katy Perry Featuring Nicki Minaj,Swish Swish,2937
413,2017,Martin Garrix & Dua Lipa,Scared To Be Lonely,2963
414,2017,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",Know No Better,3001
415,2017,Calvin Harris Featuring Future & Khalid,Rollin,3032
416,2017,Starley,Call On Me,3034
417,2017,Jonas Blue Featuring William Singe,Mama,3040
418,2017,Axwell & Ingrosso,More Than You Know,3106
419,2017,Kygo & Ellie Goulding,First Time,3135
420,2017,Steve Aoki & Louis Tomlinson,Just Hold On,3376
421,2017,Calvin Harris Featuring Kehlani & Lil Yachty,Faking It,3380
422,2017,Jax Jones Featuring RAYE,You Don't Know Me,3401
423,2017,Martin Jensen,Solo Dance,3481
424,2017,Marshmello Featuring Khalid,Silence,3499
425,2017,The Chainsmokers,Honest,3512
426,2017,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,Run Up,3558
427,2017,Zedd & Liam Payne,Get Low,3571
428,2017,Martin Garrix x Troye Sivan,There For You,3617
429,2017,Bag Raiders,Shooting Stars,3634
430,2017,Skrillex Featuring Poo Bear,Would You Ever,3654
431,2017,OneRepublic With Seeb,Rich Love,3697
432,2017,The Chainsmokers,The One,3702
433,2017,Avicii Featuring Rita Ora,Lonely Together,3718
434,2017,Marshmello,Moving On,3738
