,year,artist,song,points
1393,1972,Tommy Overstreet,Ann (Don't Go Runnin'),4002
1394,1972,Freddie Hart,Bless Your Heart,4018
1395,1972,Charlie Rich,I Take It On Home,4018
1396,1972,Marty Robbins,The Best Part Of Living,4035
1397,1972,Bill Anderson,All The Lonely Women In The World,4040
1398,1972,"Billy ""Crash"" Craddock",Ain't Nothin' Shakin' (But The Leaves On The Trees),4041
1399,1972,Cal Smith,I've Found Someone Of My Own,4050
1400,1972,Connie Smith,If It Ain't Love (Let's Leave It Alone),4056
1401,1972,Sammi Smith,I've Got To Have You,4056
1402,1972,Tammy Wynette,The Ceremony,4057
1403,1972,Connie Smith,Just For What I Am,4057
1404,1972,Tom T. Hall,Me And Jesus,4061
1405,1972,The Statler Brothers,The Class Of '57,4064
1406,1972,Tammy Wynette,Reach Out Your Hand,4079
1407,1972,Tommy Overstreet,Heaven Is My Woman's Love,4091
1408,1972,Tammy Wynette,Bedtime Story,4100
1409,1972,Tammy Wynette,My Man,4106
1410,1972,Merle Haggard,It's Not Love (But It's Not Bad),4111
1411,1972,Johnny Paycheck,Someone To Give My Love To,4122
1412,1972,Dave Dudley,You've Gotta Cry Girl,4129
1413,1972,George Jones,Loving You Could Never Be Better,4132
1414,1972,Ray Price,The Lonesomest Lonesome/That's What Leaving's About,4137
1415,1972,Loretta Lynn,One's On The Way,4152
1416,1972,Anne Murray,Cotton Jenny,4159
1417,1972,Porter Wagoner And Dolly Parton,Lost Forever In Your Kiss,4163
1418,1972,Marty Robbins,This Much A Man,4168
1419,1972,Charley Pride,She's Too Good To Be True,4169
1420,1972,Johnny Bush,Whiskey River,4169
1421,1972,Waylon Jennings,Sweet Dream Woman,4178
1422,1972,Porter Wagoner,"What Ain't To Be, Just Might Happen",4185
1423,1972,Jody Miller,There's A Party Goin' On,4186
1424,1972,David Rogers,Need You,4186
1425,1972,Dolly Parton,Touch Your Woman,4188
1426,1972,Lynn Anderson,Listen To A Country Song,4189
1427,1972,Billy Walker,Sing Me A Love Song To Baby,4192
1428,1972,George Jones,We Can Make It,4196
1429,1972,Charlie Mccoy,I Started Loving You Again,4221
1430,1972,Merle Haggard,Carolyn,4231
1431,1972,Dave Dudley,If It Feels Good Do It,4232
1432,1972,Red Simpson,I'm A Truck,4233
1433,1972,Roy Clark,The Lawrence Welk - Hee Haw Counter-Revolution Polka,4235
1434,1972,Tony Booth,The Key's In The Mailbox,4240
1435,1972,The Glaser Brothers,Ain't It All Worth Living For,4245
1436,1972,Freddie Hart,Got The All Overs For You (All Over Me),4246
1437,1972,Glen Campbell,Manhattan Kansas,4253
1438,1972,Buck Owens,Looking Back To See,4254
1439,1972,Johnny Cash And The Tennessee Three,Kate,4259
1440,1972,Bobby Bare,Sylvia's Mother,4263
1441,1972,"Hank Williams, Jr. & Lois Johnson",Send Me Some Lovin',4264
1442,1972,Buck Owens,You Ain't Gonna Have Ol' Buck To Kick Around No More,4264
1443,1972,Bobby Bare,What Am I Gonna Do,4265
1444,1972,Lynn Anderson,Fool Me,4277
1445,1972,Tommy Overstreet,A Seed Before The Rose,4280
1446,1972,Porter Wagoner And Dolly Parton,Together Always,4282
1447,1972,Conway Twitty,I Can't See Me Without You,4294
1448,1972,Porter Wagoner,A World Without Music,4296
1449,1972,Dickey Lee,Ashes Of Love,4306
1450,1972,Sonny James,That's Why I Love You Like I Do,4307
1451,1972,Jody Miller,Be My Baby,4310
1452,1972,Tony Booth,Lonesome 7-7203,4310
1453,1972,Barbara Mandrell,Show Me,4319
1454,1972,Buck Owens,I'll Still Be Waiting For You,4321
1455,1972,"Hank Williams, Jr. w/ The Mike Curb Congregation",Ain't That A Shame,4321
1456,1972,Jim Reeves,The Writing's On The Wall,4327
1457,1972,Don Gibson,"Far, Far Away",4329
1458,1972,David Houston,"Soft, Sweet And Warm",4330
1459,1972,Jerry Lee Lewis,Who's Gonna Play This Old Piano,4336
1460,1972,Merle Haggard,Grandma Harp/Turnin' Off A Memory,4339
1461,1973,Charlie Rich,Behind Closed Doors,3664
1462,1973,Conway Twitty,You've Never Been This Far Before,3715
1463,1973,Kris Kristofferson,Why Me,3756
1464,1973,Jeanne Pruett,Satin Sheets,3776
1465,1973,Barbara Fairchild,Teddy Bear Song,3779
1466,1973,Johnny Russell,"Rednecks, White Socks And Blue Ribbon Beer",3855
1467,1973,Tanya Tucker,What's Your Mama's Name,3885
1468,1973,Tammy Wynette,Kids Say The Darndest Things,3900
1469,1973,Johnny Rodriguez,Ridin' My Thumb To Mexico,3907
1470,1973,Jean Shepard,Slippin' Away,3910
1471,1973,George Jones & Tammy Wynette,We're Gonna Hold On,3914
1472,1973,Merle Haggard,Everybody's Had The Blues,3919
1473,1973,Porter Wagoner And Dolly Parton,If Teardrops Were Pennies,3922
1474,1973,Mel Tillis,Sawmill,3927
1475,1973,Tommy Overstreet,I'll Never Break These Chains,3949
1476,1973,Charlie Rich,The Most Beautiful Girl,3952
1477,1973,Freddie Hart,Trip To Heaven,3962
1478,1973,Barbara Fairchild,Kid Stuff,3971
1479,1973,Charley Pride,Don't Fight The Feelings Of Love,3975
1480,1973,Jerry Wallace,Don't Give Up On Me,3977
1481,1973,Jeannie Seely,Can I Sleep In Your Arms,3977
1482,1973,Roy Clark,Come Live With Me,3982
1483,1973,Lynn Anderson,Sing About Love,3988
1484,1973,Ray Price,You're The Best Thing That Ever Happened To Me,3988
1485,1973,Loretta Lynn,Love Is The Foundation,3989
1486,1973,Olivia Newton-John,Let Me Be There,3989
1487,1973,Bill Anderson,The Corner Of My Life,3999
1488,1973,Johnny Rodriguez,You Always Come Back (To Hurting Me),4000
1489,1973,Lynn Anderson,Top Of The World,4016
1490,1973,Johnny Carver,Yellow Ribbon,4018
1491,1973,Tanya Tucker,Blood Red And Goin' Down,4022
1492,1973,Lynn Anderson,Keep Me In Mind,4022
1493,1973,Cal Smith,The Lord Knows I'm Drinking,4036
1494,1973,Don Williams,Come Early Morning/Amanda,4039
1495,1973,Donna Fargo,Superman,4040
1496,1973,Marie Osmond,Paper Roses,4042
1497,1973,Tammy Wynette,'Til I Get It Right,4052
1498,1973,Johnny Paycheck,Mr. Lovemaker,4053
1499,1973,David Houston,Good Things,4058
1500,1973,Jerry Reed,"Lord, Mr. Ford",4065
1501,1973,Charley Pride,A Shoulder To Cry On,4078
1502,1973,Jack Greene,I Need Somebody Bad,4078
1503,1973,Dottie West,Country Sunshine,4080
1504,1973,Loretta Lynn & Conway Twitty,"Louisiana Woman, Mississippi Man",4082
1505,1973,Sonny James,I Love You More And More Everyday,4088
1506,1973,Anne Murray,Danny's Song,4092
1507,1973,Conway Twitty,Baby's Gone,4096
1508,1973,Freddie Hart,Super Kind Of Woman,4100
1509,1973,Brenda Lee,Sunday Sunrise,4103
1510,1973,Johnny Duncan,Sweet Country Woman,4106
1511,1973,Marty Robbins,Walking Piece Of Heaven,4108
1512,1973,Donna Fargo,You Were Always There,4113
1513,1973,Johnny Cash,Any Old Wind That Blows,4114
1514,1973,Merle Haggard,The Emptiest Arms In The World,4116
1515,1973,Jim Ed Brown,Southern Loving,4119
1516,1973,Tommy Overstreet,Send Me No Roses,4121
1517,1973,Faron Young,Just What I Had In Mind,4121
1518,1973,Joe Stampley,Too Far Gone,4123
1519,1973,Narvel Felts,Drift Away,4124
1520,1973,Brenda Lee,Nobody Wins,4124
1521,1973,Freddie Hart,If You Can't Feel It (It Ain't There),4132
1522,1973,Bill Anderson,If You Can Live With It (I Can Live Without It),4135
1523,1973,Mel Street,Walk Softly On The Bridges,4137
1524,1973,"Billy ""Crash"" Craddock",'Till The Water Stops Runnin',4139
1525,1973,Skeeter Davis,I Cant Believe That Its All Over,4147
1526,1973,David Houston,She's All Woman,4151
1527,1973,Bobby G. Rice,You Give Me You,4163
1528,1973,Loretta Lynn,"Rated ""X""",4168
1529,1973,Bob Luman,Neither One Of Us,4177
1530,1973,Mel Tillis,Neon Rose,4179
1531,1973,Donna Fargo,Little Girl Gone,4181
1532,1973,Bobby G. Rice,You Lay So Easy On My Mind,4184
1533,1973,George Jones,What My Woman Can't Do,4184
1534,1973,Joe Stampley,Bring It On Home (To Your Woman),4185
1535,1973,Waylon Jennings,You Can Have Her,4187
1536,1973,Don Gibson,Touch The Morning,4187
1537,1973,Charley Pride,Amazing Love,4190
1538,1973,Tom T. Hall,Ravishing Ruby,4204
1539,1973,Bobby Bare,Ride Me Down Easy,4209
1540,1973,Freddy Weller,Too Much Monkey Business,4216
1541,1973,Waylon Jennings,You Ask Me To,4218
1542,1973,Jerry Lee Lewis,Sometimes A Memory Ain't Enough,4240
1543,1973,Nat Stuckey,Take Time To Love Her,4241
1544,1973,George Jones,Nothing Ever Hurt Me (Half As Bad As Losing You),4243
1545,1973,Jerry Wallace,Do You Know What It's Like To Be Lonesome,4244
1546,1973,Jody Miller,"Darling, You Can Always Come Back Home",4246
1547,1973,Jim Reeves,Am I That Easy To Forget,4271
1548,1973,Don Williams,The Shelter Of Your Eyes,4291
1549,1973,Johnny Carver,You Really Haven't Changed,4294
1550,1973,Ronnie Milsap,I Hate You,4300
1551,1973,Roger Miller,Open Up Your Heart,4306
1552,1973,Jim Ed Brown,Broad-Minded Man,4308
1553,1973,Connie Smith,Love Is The Look You're Looking For,4310
1554,1973,Merle Haggard,I Wonder If They Ever Think Of Me,4312
1555,1973,Conway Twitty,She Needs Someone To Hold Her (When She Cries),4312
1556,1973,Hank Williams Jr.,Hank,4314
1557,1973,Merle Haggard,If We Make It Through December,4323
1558,1973,Johnny Duncan,Talkin' With My Lady,4326
1559,1973,Dolly Parton,My Tennessee Mountain Home,4327
1560,1973,Tom T. Hall,(Old Dogs-Children And) Watermelon Wine,4328
1561,1974,Mel Tillis,"Midnight, Me And The Blues",3853
1562,1974,Olivia Newton-John,If You Love Me (Let Me Know),3859
1563,1974,Mickey Gilley,I Overlooked An Orchid,3866
