,year,artist,song,points,duration
304,2015,AverySunshine,Call My Name,4373,198.508
305,2015,Empire Cast Featuring Estelle & Jussie Smollett,Conqueror,4402,207.506
306,2015,The Weeknd,Often,4419,249.04
307,2015,Jodeci,Every Moment,4424,246.933
308,2015,The Weeknd Featuring Lana Del Rey,Prisoner,4468,169.333
309,2015,Tory Lanez,Say It,4491,237.786
310,2015,The Weeknd,Shameless,4494,219.742
311,2015,Kirk Franklin,Wanna Be Happy?,4513,265.893
312,2015,Empire Cast Featuring Jussie Smollett,Keep Your Money,4588,149.746
313,2015,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",Hold You Down,4598,238.706
314,2015,Tamar Braxton,If I Don't Have You,4610,252.0
315,2015,Tinashe Featuring Chris Brown,Player,4623,139.56
316,2015,Bryson Tiller,Sorry Not Sorry,4645,206.049
317,2015,Teyana Taylor Featuring Pusha T & Yo Gotti,Maybe,4670,170.133
318,2015,The Weeknd Featuring Labrinth,Losers,4670,281.146
319,2015,PARTYNEXTDOOR Featuring Drake,Recognize,4679,311.197
320,2015,The Weeknd,Angel,4684,175.802
321,2015,Drake Featuring PARTYNEXTDOOR,Wednesday Night Interlude,4686,212.28
322,2015,August Alsina,No Love,4714,231.497
323,2015,K. Michelle,Hard To Do,4714,238.266
324,2015,JR Castro Featuring Kid Ink & Migos,Get Home,4758,166.377
325,2015,Jeremih Featuring YG,Don't Tell 'Em,4765,266.84
326,2015,Bryson Tiller,Let 'Em Know,4765,261.88
327,2015,"DJ Khaled Featuring Trey Songz, Future & Jeremih",You Mine,4767,232.906
328,2015,Wiz Khalifa,Promises,4780,646.239
329,2015,Jazmine Sullivan,Let It Burn,4784,223.093
330,2015,Monica Featuring Lil Wayne,Just Right For Me,4789,200.133
331,2015,"DJ Khaled Featuring Chris Brown, August Alsina & Fetty Wap",Gold Slugs,4828,258.586
332,2015,Mariah Carey,Infinity,4829,237.72
333,2015,Ciara,Dance Like We're Making Love,4842,256.6
334,2015,Bryson Tiller,Been That Way,4844,199.32
335,2015,Chris Brown,Back To Sleep,4893,201.253
336,2015,Michael Jackson,Thriller,4901,357.266
337,2015,The Weeknd,Where You Belong,4913,176.588
338,2015,Snoop Dogg Featuring Stevie Wonder,California Roll,4918,265.039
339,2015,Chris Brown Featuring Jhene Aiko,Drunk Texting,4933,227.4
340,2015,Snakehips Featuring Tinashe & Chance The Rapper,All My Friends,4937,229.746
341,2015,Ne-Yo,Religious,4939,178.723
342,2015,Mila J Featuring Ty Dolla $ign,My Main,4940,212.72
343,2015,Trey Songz,What's Best For You,4940,218.5
344,2015,Justin Timberlake,Drink You Away,4970,331.133
345,2015,Robin Thicke Featuring Nicki Minaj,Back Together,4998,192.091
346,2015,Miguel Featuring Chris Brown & Future,Simple Things,5002,196.026
347,2015,Mary J. Blige,Whole Damn Year,5009,251.809
348,2015,The Weeknd,As You Are,5011,340.493
349,2015,Bryson Tiller,Right My Wrongs,5015,249.32
350,2015,Ne-Yo,Coming With You,5019,259.006
351,2015,Elijah Blake Featuring DeJ Loaf,I Just Wanna..,5022,207.925
352,2015,Tinashe Featuring A$AP Rocky,Pretend,5022,122.932
353,2015,Trey Songz Featuring Nicki Minaj,"Touchin, Lovin",5063,221.971
354,2016,Rihanna,Needed Me,1392,191.6
355,2016,PARTYNEXTDOOR Featuring Drake,Come And See Me,1937,235.477
356,2016,Drake Featuring WizKid & Kyla,One Dance,1968,173.986
357,2016,Rihanna Featuring Drake,Work,2389,235.32
358,2016,Rihanna,Love On The Brain,2421,224.0
