,date,rank,artist,song,year
4,2013-03-16,5,Pitbull Featuring Christina Aguilera,Feel This Moment,2013
5,2013-03-16,6,PSY,Gangnam Style,2013
6,2013-03-16,7,Icona Pop Featuring Charli XCX,I Love It,2013
7,2013-03-16,8,Krewella,Alive,2013
8,2013-03-16,9,Afrojack Featuring Chris Brown,As Your Friend,2013
9,2013-03-16,10,Hadouken!,Levitate,2013
10,2013-03-16,11,Avicii vs Nicky Romero,I Could Be The One,2013
11,2013-03-16,12,Zedd Featuring Foxes,Clarity,2013
12,2013-03-16,13,Ne-Yo,Forever Now,2013
13,2013-03-16,14,Ludacris Featuring Usher & David Guetta,Rest Of My Life,2013
14,2013-03-16,15,Cazzette,Beam Me Up (Kill-Mode),2013
15,2013-03-16,16,David Guetta Featuring Sia,She Wolf (Falling To Pieces),2013
16,2013-03-16,17,Zedd Featuring Matthew Koma,Spectrum,2013
17,2013-03-16,18,Swedish House Mafia,Greyhound,2013
18,2013-03-16,19,Chris Cox + DJ Frankie Featuring Crystal Waters,Oh Mama Hey,2013
19,2013-03-16,20,Rihanna Featuring David Guetta,Right Now,2013
20,2013-03-16,21,Miasha,Everybody's Beautiful,2013
21,2013-03-16,22,Hardwell Featuring Mitch Crown,Call Me A Spaceman,2013
22,2013-03-16,23,Calvin Harris Featuring Ellie Goulding,I Need Your Love,2013
23,2013-03-16,24,Arianna Featuring Pitbull,Sexy People (The Fiat Song),2013
24,2013-03-16,25,DJ Fresh Featuring Sian Evans,Louder,2013
25,2013-03-16,26,Ono Featuring Dave Aude,Hold Me,2013
26,2013-03-16,27,Hardwell Featuring Amba Shepherd,Apollo,2013
27,2013-03-16,28,Calvin Harris Featuring Tinie Tempah,Drinking From The Bottle,2013
28,2013-03-16,29,Ralphi Rosario Featuring Frankie,Forever,2013
29,2013-03-16,30,The Postal Service,A Tattered Line Of String,2013
30,2013-03-16,31,Bingo Players Featuring Far East Movement,Get Up (Rattle),2013
31,2013-03-16,32,C2C,Down The Road,2013
32,2013-03-16,33,David Guetta Featuring Taped Rai,Just One Last Time,2013
33,2013-03-16,34,Alesso Featuring Matthew Koma,Years,2013
34,2013-03-16,35,Showtek & Justin Prime Featuring Matthew Koma,Cannonball (Earthquake),2013
35,2013-03-16,36,Lindsey Stirling,Crystallize,2013
36,2013-03-16,37,Major Lazer & Flux Pavillion,Jah No Partial,2013
37,2013-03-16,38,Sam And The Womp!,Bom Bom,2013
38,2013-03-16,39,Otto Knows,Million Voices,2013
39,2013-03-16,40,DJ Pauly D Featuring Jay Sean,Back To Love,2013
40,2013-03-16,41,Knife Party,Internet Friends,2013
41,2013-03-16,42,Princess X,Gimme All (Ring My Bell),2013
42,2013-03-16,43,David Guetta Featuring Ne-Yo & Akon,Play Hard,2013
43,2013-03-16,44,Asaf Avidan / Wankelmut,One Day / Reckoning Song,2013
44,2013-03-16,45,Krewella,One Minute,2013
45,2013-03-16,46,Madeon,The City,2013
46,2013-03-16,47,Knife Party,Centipede,2013
47,2013-03-16,48,Madeon,Finale,2013
48,2013-03-16,49,Porter Robinson,Language,2013
49,2013-03-16,50,RedFoo,Bring Out The Bottles,2013
0,2013-03-09,1,Baauer,Harlem Shake,2013
1,2013-03-09,2,will.i.am & Britney Spears,Scream & Shout,2013
2,2013-03-09,3,Swedish House Mafia Featuring John Martin,Don't You Worry Child,2013
3,2013-03-09,4,Calvin Harris Featuring Florence Welch,Sweet Nothing,2013
4,2013-03-09,5,PSY,Gangnam Style,2013
5,2013-03-09,6,Pitbull Featuring Christina Aguilera,Feel This Moment,2013
6,2013-03-09,7,Icona Pop Featuring Charli XCX,I Love It,2013
7,2013-03-09,8,Afrojack Featuring Chris Brown,As Your Friend,2013
8,2013-03-09,9,Krewella,Alive,2013
9,2013-03-09,10,Zedd Featuring Foxes,Clarity,2013
10,2013-03-09,11,Avicii vs Nicky Romero,I Could Be The One,2013
11,2013-03-09,12,Ne-Yo,Forever Now,2013
12,2013-03-09,13,Ludacris Featuring Usher & David Guetta,Rest Of My Life,2013
13,2013-03-09,14,Hadouken!,Levitate,2013
14,2013-03-09,15,David Guetta Featuring Sia,She Wolf (Falling To Pieces),2013
15,2013-03-09,16,Zedd Featuring Matthew Koma,Spectrum,2013
16,2013-03-09,17,Swedish House Mafia,Greyhound,2013
17,2013-03-09,18,Chris Cox + DJ Frankie Featuring Crystal Waters,Oh Mama Hey,2013
18,2013-03-09,19,Rihanna Featuring David Guetta,Right Now,2013
19,2013-03-09,20,The Freaks,Harlem Shake,2013
20,2013-03-09,21,Hardwell Featuring Mitch Crown,Call Me A Spaceman,2013
21,2013-03-09,22,Cazzette,Beam Me Up (Kill-Mode),2013
22,2013-03-09,23,Miasha,Everybody's Beautiful,2013
23,2013-03-09,24,DJ Fresh Featuring Sian Evans,Louder,2013
24,2013-03-09,25,Kerli,The Lucky Ones,2013
25,2013-03-09,26,Calvin Harris Featuring Ellie Goulding,I Need Your Love,2013
26,2013-03-09,27,Team Pitbull Featuring David Rush & Pitbull,All Night,2013
27,2013-03-09,28,Arianna Featuring Pitbull,Sexy People (The Fiat Song),2013
28,2013-03-09,29,Hardwell Featuring Amba Shepherd,Apollo,2013
29,2013-03-09,30,The Postal Service,A Tattered Line Of String,2013
30,2013-03-09,31,Alesso Featuring Matthew Koma,Years,2013
31,2013-03-09,32,Showtek & Justin Prime Featuring Matthew Koma,Cannonball (Earthquake),2013
32,2013-03-09,33,Ono Featuring Dave Aude,Hold Me,2013
33,2013-03-09,34,Calvin Harris Featuring Tinie Tempah,Drinking From The Bottle,2013
34,2013-03-09,35,Porter Robinson,Language,2013
35,2013-03-09,36,David Guetta Featuring Taped Rai,Just One Last Time,2013
36,2013-03-09,37,Major Lazer & Flux Pavillion,Jah No Partial,2013
37,2013-03-09,38,Kaskade Featuring Neon Trees,Lessons In Love,2013
38,2013-03-09,39,Sam And The Womp!,Bom Bom,2013
39,2013-03-09,40,Lindsey Stirling,Crystallize,2013
40,2013-03-09,41,C2C,Down The Road,2013
41,2013-03-09,42,Baauer,Yaow!,2013
42,2013-03-09,43,deadmau5 + Wolfgang Gartner,Channel 42,2013
43,2013-03-09,44,Ralphi Rosario Featuring Frankie,Forever,2013
44,2013-03-09,45,Otto Knows,Million Voices,2013
45,2013-03-09,46,Knife Party,Internet Friends,2013
46,2013-03-09,47,RedFoo,Bring Out The Bottles,2013
47,2013-03-09,48,Cedric Gervais,Molly,2013
48,2013-03-09,49,Asaf Avidan / Wankelmut,One Day / Reckoning Song,2013
49,2013-03-09,50,Kaskade Featuring Haley,Llove,2013
0,2013-03-02,1,Baauer,Harlem Shake,2013
1,2013-03-02,2,will.i.am & Britney Spears,Scream & Shout,2013
2,2013-03-02,3,Swedish House Mafia Featuring John Martin,Don't You Worry Child,2013
3,2013-03-02,4,Calvin Harris Featuring Florence Welch,Sweet Nothing,2013
4,2013-03-02,5,PSY,Gangnam Style,2013
5,2013-03-02,6,Pitbull Featuring Christina Aguilera,Feel This Moment,2013
6,2013-03-02,7,Icona Pop Featuring Charli XCX,I Love It,2013
7,2013-03-02,8,Krewella,Alive,2013
8,2013-03-02,9,Zedd Featuring Foxes,Clarity,2013
9,2013-03-02,10,Avicii vs Nicky Romero,I Could Be The One,2013
10,2013-03-02,11,Hadouken!,Levitate,2013
11,2013-03-02,12,Team Pitbull Featuring David Rush & Pitbull,All Night,2013
12,2013-03-02,13,Ludacris Featuring Usher & David Guetta,Rest Of My Life,2013
13,2013-03-02,14,Ne-Yo,Forever Now,2013
14,2013-03-02,15,David Guetta Featuring Sia,She Wolf (Falling To Pieces),2013
15,2013-03-02,16,Afrojack Featuring Chris Brown,As Your Friend,2013
16,2013-03-02,17,Zedd Featuring Matthew Koma,Spectrum,2013
17,2013-03-02,18,Swedish House Mafia,Greyhound,2013
18,2013-03-02,19,The Postal Service,A Tattered Line Of String,2013
19,2013-03-02,20,Rihanna Featuring David Guetta,Right Now,2013
20,2013-03-02,21,Chris Cox + DJ Frankie Featuring Crystal Waters,Oh Mama Hey,2013
21,2013-03-02,22,DJ Fresh Featuring Sian Evans,Louder,2013
22,2013-03-02,23,Hardwell Featuring Mitch Crown,Call Me A Spaceman,2013
23,2013-03-02,24,Cazzette,Beam Me Up (Kill-Mode),2013
24,2013-03-02,25,Kaskade Featuring Neon Trees,Lessons In Love,2013
25,2013-03-02,26,Kerli,The Lucky Ones,2013
26,2013-03-02,27,Calvin Harris Featuring Ellie Goulding,I Need Your Love,2013
27,2013-03-02,28,Miasha,Everybody's Beautiful,2013
28,2013-03-02,29,Hardwell Featuring Amba Shepherd,Apollo,2013
29,2013-03-02,30,Calvin Harris Featuring Tinie Tempah,Drinking From The Bottle,2013
30,2013-03-02,31,David Guetta Featuring Taped Rai,Just One Last Time,2013
31,2013-03-02,32,Sam And The Womp!,Bom Bom,2013
32,2013-03-02,33,Major Lazer & Flux Pavillion,Jah No Partial,2013
33,2013-03-02,34,Showtek & Justin Prime Featuring Matthew Koma,Cannonball (Earthquake),2013
34,2013-03-02,35,Qwote Featuring Mr. Worldwide,Letting Go (Cry Just A Little),2013
35,2013-03-02,36,Arianna Featuring Pitbull,Sexy People (The Fiat Song),2013
36,2013-03-02,37,deadmau5 + Wolfgang Gartner,Channel 42,2013
37,2013-03-02,38,Alesso Featuring Matthew Koma,Years,2013
38,2013-03-02,39,RedFoo,Bring Out The Bottles,2013
39,2013-03-02,40,Madeon,The City,2013
40,2013-03-02,41,Kaskade Featuring Haley,Llove,2013
41,2013-03-02,42,Knife Party,Internet Friends,2013
42,2013-03-02,43,Ono Featuring Dave Aude,Hold Me,2013
43,2013-03-02,44,C2C,Down The Road,2013
44,2013-03-02,45,Otto Knows,Million Voices,2013
45,2013-03-02,46,Delerium,Days Turn Into Nights,2013
46,2013-03-02,47,Knife Party,Centipede,2013
47,2013-03-02,48,NERO,Doomsday,2013
48,2013-03-02,49,Lindsey Stirling,Crystallize,2013
49,2013-03-02,50,Madeon,Finale,2013
0,2013-03-23,1,Baauer,Harlem Shake,2013
1,2013-03-23,2,will.i.am & Britney Spears,Scream & Shout,2013
2,2013-03-23,3,Swedish House Mafia Featuring John Martin,Don't You Worry Child,2013
3,2013-03-23,4,Pitbull Featuring Christina Aguilera,Feel This Moment,2013
4,2013-03-23,5,Calvin Harris Featuring Florence Welch,Sweet Nothing,2013
5,2013-03-23,6,PSY,Gangnam Style,2013
6,2013-03-23,7,Icona Pop Featuring Charli XCX,I Love It,2013
