,year,artist,song,points
355,1989,Laura Flores,PARA VIVIR FELIZ,4116
356,1989,Yolanda del Rio,VALGAME DIOS,4160
357,1989,Nydia Caro,TODOS LOS FUEGOS,4165
358,1989,Ricardo Montaner,A Donde Va El Amor,4170
359,1989,Tony Vega,Yo Me Quedo,4176
360,1989,Roberto Carlos,SI EL AMOR SE VA,4209
361,1989,Gilberto Santa Rosa,Tengo Una Muneca,4210
362,1989,Emmanuel,EN LA NOCHE,4215
363,1989,Eydie Gorme,DE CORAZON A CORAZON,4216
364,1989,Los Caminantes,AMOR QUE NACE,4218
365,1989,Tommy Olivencia,DOCE ROSAS,4230
366,1989,Luis Enrique,Lo Que Paso Entre Tu Y Yo...Paso,4231
367,1989,Eddie Santiago,TU ME HACES FALTA,4249
368,1989,El Gran Combo de Puerto Rico,Aguacero,4276
369,1989,Jose Luis Rodriguez,Rodando Caminos,4302
370,1989,Emmanuel,La Chica De Humo,4310
371,1989,Vicente Fernandez,MUJERES DIVINAS,4311
372,1989,Hansel Y Raul,ELLA,4324
373,1989,Vicente Fernandez,Por Tu Maldito Amor,4342
374,1989,Willie Gonzalez,No Podras Escapar De Mi,4376
375,1989,Yolandita Monge,QUITAME ESE HOMBRE DEL CORAZON,4383
376,1989,Willie Colon,El Gran Baron,4398
377,1989,Yolandita Monge,DEBIL,4402
378,1989,Yuri,No Puedo Mas,4412
379,1989,Angela Carrasco,BOCA ROSA,4426
380,1989,Mirian Hernandez,El Hombre Que Yo Amo,4468
381,1989,Lourdes Robles,CORAZON EN BLANCO,4480
382,1989,Chantelle,Apresio Y Afecto,4521
383,1989,ALBERTO VASQUEZ/JOAN SEBASTIAN,MARACAS,4523
384,1989,David Pabon,Aquel viejo motel,4526
385,1989,Angela Carrasco,NO QUIERO NADA DE TI,4539
386,1989,Daniela Romo,Lo Que Las Mujeres Callamos,4541
387,1989,La Patrulla 15,EL MORENO ESTA,4562
388,1989,Rocio Durcal,Por Que Tanta Soledad,4577
389,1989,Los Yonic's,Frente A Frente,4592
390,1989,Lucia Mendez,Aventurero,4597
391,1989,Luis Enrique,Yo No Puedo Ser Tu Amante,4604
392,1989,Los Caminantes,ENTRE MAS LEJOS ME VAYA,4604
393,1989,Cano Estremera,A Mi,4618
394,1989,Los Sabrosos del Merengue,YA VIENE EL LUNES,4626
395,1989,Eddie Santiago,ANTIDOTO Y VENENO,4626
396,1989,Lucia Mendez,Nos Aburriremos Juntos,4632
397,1989,Lucia Mendez,MORIR UN POCO,4632
398,1989,Bronco: El Gigante De America,Que No Quede Huella,4657
399,1989,Eddie Santiago,Mia,4661
400,1990,Juan Luis Guerra 440,Burbujas De Amor,2829
401,1990,Rudy La Scala,El Carino Es Como Una Flor,2946
402,1990,Ricardo Montaner,Me Va A Extranar,3070
403,1990,Luis Miguel,Tengo Todo Excepto A Ti,3203
404,1990,Ana Gabriel,Quien Como Tu,3239
405,1990,Rocio Durcal,Te Amo,3260
406,1990,Ricardo Montaner,La Cima Del Cielo,3262
407,1990,Daniela Romo,Quiero Amanecer Con Alguien,3288
408,1990,Jose Feliciano,Porque Te Tengo Que Olvidar,3297
409,1990,Jose Jose,Amnesia,3323
410,1990,Myriam Hernandez,Peligroso Amor,3383
411,1990,Guillermo Davila/Kiara,Tesoro Mio,3415
412,1990,Ana Gabriel,Ni Un Roce,3453
413,1990,Alvaro Torres,Ni Tu Ni Ella,3456
414,1990,Mijares,Para Amarnos Mas,3484
415,1990,Daniela Romo,Dimelo,3505
416,1990,Los Bukis,Como Fui A Enamorarme De Ti,3535
417,1990,Roberto Carlos,Abre Las Ventanas Al Amor,3538
418,1990,Yuri,Me Tienes Que Querer,3563
419,1990,Daniela Romo,Explorame,3618
420,1990,Chayanne,Completamente Enamorados,3645
421,1990,Kaoma,Lambada,3646
422,1990,Mijares,Me Acordare De Ti,3671
423,1990,Juan Luis Guerra 440,La Bilirrubina,3735
424,1990,Paloma San Basilio,Nadie Como tu,3744
425,1990,Kaoma,Dancando Lambada,3756
426,1990,Danny Rivera,Como He De Vivir Sin Tu Carino,3796
427,1990,Luis Angel,Flor Dormida,3818
428,1990,Luis Miguel,Entregate,3850
429,1990,Lourdes Robles/Luis Enrique,Gracias A Tu Amor,3897
430,1990,Alvaro Torres,Si Estuvieras Conmigo,3932
431,1990,Ana Gabriel,Hice Bien Quererte,3942
432,1990,Los Temerarios,Solo Te Quiero A Ti,3946
433,1990,Alejandra Guzman,Eternamente Bella,3951
434,1990,Lourdes Robles,Abrazame Fuerte,3962
435,1990,Pandora,Todavia,3985
436,1990,Teresa Guerra,Lambada-Llorando Se Fue,4006
437,1990,Jose Luis Rodriguez,Senora Bonita,4016
438,1990,Rudy La Scala,Porque Tu Eres La Reina,4017
439,1990,Marisela,Amarte Es Genial,4026
440,1990,Bronco: El Gigante De America,Corazon Duro,4034
441,1990,Pimpinela,Cuanto Te Quiero,4053
442,1990,Xuxa,Ilarie,4064
443,1990,Azucar Moreno,Ven Devorame Otra Vez,4066
444,1990,Franco de Vita,Esta Vez,4080
445,1990,Pimpinela,Es Mentira,4081
446,1990,Luis Enrique,Mi Mundo,4082
447,1990,Los Caminantes,Mi Nina,4099
448,1990,Lucerito,Corazon A La Deriva,4103
449,1990,Raphael,"Maravilloso, Corazon, Maravilloso",4135
450,1990,Lucia Mendez,No Hay Hombres,4150
451,1990,Ana Gabriel,Soledad,4155
452,1990,Los Bukis,Me Dio Coraje,4161
453,1990,Rocio Durcal,Ya Te Olvide,4192
454,1990,Los Caminantes,Solo Los Tontos,4197
455,1990,Guillermo Fernandez,Con El Corazon En La Mano,4200
456,1990,Gipsy Kings,Volare,4210
457,1990,Emmanuel,La Vida Decidio,4214
458,1990,Chayanne,Fantasias,4221
459,1990,Willie Rosario,Anuncio Clasificado,4262
460,1990,Angeles Ochoa,Aunque Tenga Que Llorar,4264
461,1990,Gipsy Kings,Vamos A Bailar,4269
462,1990,Los Temerarios,Tu Infame Engano,4274
463,1990,Roberto Carlos,Se Divierte Y Ya No Piensa En Mi,4284
464,1990,Suzy Gonzales,Tu,4285
465,1990,Luis Angel,Manos De Seda,4286
466,1990,La Sonora Dinamita,El Viejo del Sombreron,4299
467,1990,Mirian Hernandez,El Hombre Que Yo Amo,4311
468,1990,Angela Carrasco,Ese Hombre Es,4312
469,1990,Angelica Maria,Reina Y Cenicienta,4326
470,1990,Roberto Carlos,Si Me Vas A Olvidar,4327
471,1990,Franco de Vita,Promesas,4334
472,1990,Chayanne,Simon Sez,4351
473,1990,Angeles Ochoa,Dejame En Paz,4351
474,1990,Gloria Estefan,Renacer,4358
475,1990,Antonio De Jesus,"Una Calle, Un Banco, Una Plaza",4361
476,1990,Emmanuel,La Chica De Humo,4362
477,1990,Isabel Pantoja,Que Voy Hacer Contigo,4369
478,1990,Yuri,Embrujada (Estoy),4371
479,1990,Marisela,Demasiado Tarde,4378
480,1990,Los Yonic's,Se Hubiera Ido Sola,4379
481,1990,Gloria Estefan,Oye Mi Canto,4380
482,1990,Ana Gabriel,Es Demasiado Tarde,4387
483,1990,Luis Miguel,Separados,4414
484,1990,Franco,Bonito Y Sabroso,4417
485,1990,Los Mier,Muneca Ojos De Miel,4422
486,1990,Los Temerarios,Creo Que Voy A Llorar,4429
487,1990,Gilberto Santa Rosa,Vivir Sin Ella,4433
488,1990,Braulio,El Tribunal Del Amor,4433
489,1990,Yolandita Monge,Sin Amor,4441
490,1990,Tony Vega,Ella,4443
491,1990,Isabel Pantoja,Buenos Dias Tristeza,4445
492,1990,Industria del Amor,Ya No Llores Corazon,4447
493,1990,Isabel Pantoja,Se Me Enamora El Alma,4451
494,1990,Lucero,Te Tuve Y Te Perdi,4459
495,1990,Que Pasa,Mami Yo Te Quiero,4485
496,1990,Carlos Mata,Dejame  Intentar,4499
497,1990,Eddie Santiago,Me Hiciste Caer,4500
498,1990,Mario Ortiz,Que Sera De Mi,4506
499,1990,Marisela,Y Se Que Vas A Llorar,4507
500,1991,Los Bukis,Mi Deseo,3006
501,1991,Banda Blanca,Sopa de Caracol,3008
502,1991,Daniela Romo,Todo Todo Todo,3065
503,1991,Vikki Carr Y Ana Gabriel,Cosas Del Amor,3072
504,1991,Ricardo Montaner,Dejame Llorar,3109
505,1991,Emmanuel,No He Podido Verte,3167
506,1991,Ana Gabriel,Destino,3289
507,1991,Myriam Hernandez,Te Pareces Tanto A El,3289
508,1991,Juan Luis Guerra 440,Frio Frio,3339
509,1991,Chayanne,Tiempo De Vals,3350
510,1991,Ednita Nazario,Lo Que Son Las Cosas,3407
511,1991,Franco de Vita,No Basta,3422
512,1991,Paloma San Basilio,Demasiado Herida,3460
513,1991,Los Bukis,Chiquilla Bonita,3490
514,1991,Ana Gabriel,Ahora,3499
515,1991,Ana Gabriel,Es Demasiado Tarde,3499
516,1991,Luis Miguel,Amante Del Amor,3553
517,1991,Pandora,Popurri,3563
518,1991,Pandora,Con Tu Amor,3571
519,1991,Jose Jose,Esa Mujer,3609
520,1991,Juan Luis Guerra 440,Estrellitas Y Duendes,3632
521,1991,Banda Blanca,Fiesta,3698
522,1991,Jose Javier Solis,Sentimental,3703
523,1991,Grupo Yndio,Melodia Desencadenada,3704
524,1991,Emmanuel,Bella Senora,3722
525,1991,Victor Victor,Mesita De Noche,3731
526,1991,Mijares,Que Nada Nos Separe,3733
