,year,artist,song,points,duration
3229,2018,Bad Bunny,Amorfoda,3597,153.887
3230,2018,"DJ Luian & Mambo Kingz Presentan: Bad Bunny, J Balvin & Prince Royce",Sensualidad,3600,297.485
3231,2018,"Almighty, Ozuna, Bad Bunny & Wisin",Solita,3617,311.726
3232,2018,Wolfine,Bella,3620,204.7
3233,2018,Thalia & Natti Natasha,No Me Acuerdo,3653,217.653
3234,2018,Banda Sinaloense MS de Sergio Lizarraga,Mejor Me Alejo,3656,201.96
3235,2018,Maluma,Mala Mia,3667,183.752
3236,2018,J Balvin x Jeon x Anitta,Machika,3729,189.653
3237,2018,6ix9ine Featuring Anuel AA,BEBE,3731,271.861
3238,2018,J Balvin,Ambiente,3752,249.253
3239,2018,Anitta & J Balvin,Downtown,3780,193.456
3240,2018,Daddy Yankee x RKM & Ken-Y x Arcangel,Zum Zum,3812,235.773
3241,2018,Calibre 50,Mi Sorpresa Fuiste Tu,3825,229.88
3242,2018,Sofia Reyes Featuring Jason Derulo & De La Ghetto,"1, 2, 3",3830,198.36
3243,2018,Piso 21 Featuring Manuel Turizo,Dejala Que Vuelva,3837,220.116
3244,2018,Ulices Chaidez y Sus Plebes,Que Bonito Es Querer,3846,209.664
3245,2018,La Adictiva Banda San Jose de Mesillas,En Peligro de Extincion,3896,234.0
3246,2018,Jennifer Lopez,El Anillo,3899,176.816
3247,2018,La Arrolladora Banda el Limon de Rene Camacho,Calidad y Cantidad,3909,210.32
3248,2018,Reik & Maluma,Amigos Con Derechos,3920,227.48
3249,2018,El de La Guitarra,A Lo Lejos Me Veran,3921,148.561
3250,2018,Ricky Martin Featuring Wisin & Yandel,Fiebre,3923,247.5
3251,2018,Anuel AA Featuring Ozuna,Brindemos,3924,216.857
3252,2018,Wisin Featuring Yandel & Daddy Yankee,Todo Comienza En La Disco,3968,268.106
3253,2018,"MC Fioti, Future, J Balvin, Stefflon Don & Juan Magan",Bum Bum Tam Tam,3998,213.988
3254,2018,"Chris Jeday, Ozuna & Brytiago",Bipolar,4003,220.08
3255,2018,Karol G & Anuel AA,Culpables,4004,226.626
3256,2018,Luis Fonsi & Stefflon Don Or Karol G,Calypso,4020,200.346
3257,2018,Raymix,Donde Estaras,4036,223.503
3258,2018,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,4056,212.5
3259,2018,Ozuna Featuring Romeo Santos,Ibiza,4086,200.746
3260,2018,Wisin Featuring Ozuna,Quisiera Alejarme,4094,224.44
3261,2018,Christian Nodal,Te Falle,4109,231.173
3262,2018,Christian Nodal,Me Deje Llevar,4112,181.453
3263,2018,Lele Pons,Celoso,4126,168.72
3264,2018,Bad Bunny Featuring Drake,MIA,4166,210.367
3265,2018,Banda Sinaloense MS de Sergio Lizarraga,El Color de Tus Ojos,4168,202.56
3266,2018,Ozuna Featuring J Balvin,Quiero Repetir,4170,200.986
3267,2018,Christian Nodal,No Te Contaron Mal,4177,156.52
3268,2018,Bad Bunny,Chambea (Wooo!),4193,192.001
3269,2018,Gerardo Ortiz,El Aroma de Tu Piel,4193,172.267
3270,2018,Silvestre Dangond & Natti Natasha,Justicia,4199,209.227
3271,2018,Sebastian Yatra Featuring Dalmata,Sutra,4204,203.4
3272,2018,Natti Natasha & Bad Bunny,Amantes de Una Noche,4206,225.52
3273,2018,Becky G Featuring Bad Bunny,Mayores,4218,203.186
3274,2018,Natti Natasha x Ozuna,Criminal,4232,232.549
3275,2018,"Marc Anthony, Will Smith & Bad Bunny",Esta Rico,4241,215.151
3276,2018,Romeo Santos,Centavito,4250,262.437
3277,2018,T3r Elemento Featuring Gerardo Ortiz,Aerolinea Carrillo,4270,174.275
3278,2018,Silvestre Dangond x Nicky Jam,Casate Conmigo,4271,209.032
3279,2018,Calibre 50,Mitad y Mitad,4275,196.453
3280,2018,Fuerza Regida,Radicamos En South Central,4291,228.853
3281,2018,Lenin Ramirez Featuring T3r Elemento,Rolling One,4311,243.46
3282,2018,Los Angeles Azules Featuring Natalia LaFourcade,Nunca Es Suficiente,4319,266.213
3283,2018,El de La Guitarra,El Monstro 7,4323,202.124
3284,2018,Banda Los Recoditos,Tiempo,4324,161.287
3285,2018,Sebastian Yatra + Mau y Ricky,Ya No Tiene Novio,4325,198.933
3286,2018,"Rvssian, J Balvin & Farruko",Ponle,4338,164.764
3287,2018,Regulo Caro,Como Vuelvo A Enamorarte,4357,177.692
3288,2018,T3r Elemento,Fire Up,4368,178.28
3289,2018,Shakira Featuring Nicky Jam,Perro Fiel,4378,195.213
3290,2018,La Arrolladora Banda el Limon de Rene Camacho,Entre Beso y Beso,4379,182.306
3291,2018,Natti Natasha,Quien Sabe,4434,269.12
3292,2018,El Fantasma,En El Camino,4437,168.425
3293,2018,Cornelio Vega y Su Dinastia,No Me Hubiera Enamorado,4451,207.364
3294,2018,Sebastian Yatra Featuring Luis Figueroa & Lary Over,Por Perro,4465,245.36
3295,2018,Joss Favela,Me Hubieras Dicho,4485,171.0
3296,2018,CNCO,Mamita,4499,174.2
3297,2018,Luis Fonsi + Ozuna,Imposible,4500,164.533
3298,2018,Manuel Turizo,Esperandote,4503,199.813
3299,2018,RKM & Ken-Y x Natti Natasha,Tonta,4514,190.173
3300,2019,Daddy Yankee Featuring Snow,Con Calma,1155,193.226
3301,2019,Bad Bunny Featuring Drake,MIA,1243,210.367
3302,2019,Pedro Capo X Farruko,Calma,1873,238.2
3303,2019,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,2027,225.933
3304,2019,"Lunay, Daddy Yankee & Bad Bunny",Soltera,2247,266.086
3305,2019,"Jhay Cortez, J Balvin & Bad Bunny",No Me Conoce,2373,309.12
3306,2019,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,2428,212.5
3307,2019,Bad Bunny & Tainy,Callaita,2437,250.533
3308,2019,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Baila Baila Baila,2587,235.284
3309,2019,"DJ Snake, J. Balvin & Tyga",Loco Contigo,2802,185.194
3310,2019,Anuel AA & Karol G,Secreto,2843,258.799
3311,2019,Nicky Jam X Ozuna,Te Robare,2896,201.818
3312,2019,J Balvin & Bad Bunny,La Cancion,2899,242.573
3313,2019,Maluma,HP,2953,184.435
3314,2019,Anuel AA & Romeo Santos,Ella Quiere Beber,2959,219.357
3315,2019,Wisin & Yandel & Romeo Santos,Aullando,2985,226.2
3316,2019,J Balvin & Bad Bunny,Que Pretendes,3012,222.346
3317,2019,Maluma,11 PM,3017,175.733
3318,2019,"Rosalia, J. Balvin & El Guincho",Con Altura,3023,161.626
3319,2019,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,3082,301.714
3320,2019,Anuel AA X Haze,Amanece,3145,190.004
3321,2019,Aventura,Inmortal,3151,256.44
3322,2019,"Pitbull, Natti Natasha & Daddy Yankee",No Lo Trates,3205,198.453
3323,2019,Bad Bunny Featuring El Alfa,La Romana,3213,300.579
3324,2019,Myke Towers x Farruko,Si Se Da,3250,332.24
3325,2019,Bad Bunny,Ni Bien Ni Mal,3395,236.215
3326,2019,Christian Nodal,De Los Besos Que Te Di,3451,167.373
3327,2019,Daddy Yankee & Anuel AA,Adictiva,3544,207.853
3328,2019,Ozuna,Te Sone de Nuevo,3551,198.186
3329,2019,Bad Bunny,Solo de Mi,3631,197.967
3330,2019,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,3642,417.92
3331,2019,"Banda Los Sebastianes de Mazatlan, Sinaloa.",A Traves del Vaso,3645,182.106
3332,2019,Sean Paul & J Balvin,Contra La Pared,3650,224.68
3333,2019,Calibre 50,Simplemente Gracias,3680,203.2
3334,2019,"Tainy, Anuel AA & Ozuna",Adicto,3689,270.74
3335,2019,Rosalia & Ozuna,"Yo X Ti, Tu X Mi",3704,201.04
3336,2019,Bad Bunny,Caro,3719,209.64
3337,2019,Daddy Yankee & Wisin & Yandel,Si Supieras,3720,227.814
3338,2019,Banda Sinaloense MS de Sergio Lizarraga,Por Siempre Mi Amor,3734,200.173
3339,2019,Carin Leon,Me La Avente,3744,155.802
3340,2019,"Los Angeles Azules, Belinda & Lalo Ebratt Featuring Horacio Palencia",Amor A Primera Vista,3753,221.346
3341,2019,Natti Natasha,Me Gusta,3756,239.986
3342,2019,DJ Luian & Mambo Kingz X Darell X Anuel AA X Nicky Jam X Brytiago,Verte Ir,3757,267.5
3343,2019,Dalex x Rafa Pabon,Pa Mi,3831,202.066
3344,2019,Nicky Jam X Sech,Atrevete,3832,239.306
3345,2019,Adriel Favela Featuring Javier Rosas,La Escuela No Me Gusto,3851,176.0
3346,2019,Sebastian Yatra & Reik,Un Ano,3855,163.813
3347,2019,Banda Sinaloense MS de Sergio Lizarraga,Por Mi No Te Detengas,3855,225.213
3348,2019,Los Angeles Azules Featuring Natalia LaFourcade,Nunca Es Suficiente,3873,266.213
3349,2019,Romeo Santos & El Chaval de La Bachata,Canalla,3892,225.386
3350,2019,Piso 21 & Micro TDH,Te Vi,3906,231.848
3351,2019,Marc Anthony,Parecen Viernes,3922,268.44
3352,2019,"Sebastian Yatra, Daddy Yankee, Jonas Brothers & Natti Natasha",Runaway,3925,547.733
3353,2019,Bad Bunny,Si Estuviesemos Juntos,3930,169.247
3354,2019,Karol G,Ocean,3932,164.776
3355,2019,Dayvi & Victor Cardenas Featuring Kelly Ruiz,Baila Conmigo,3951,186.087
3356,2019,Camilo + Pedro Capo,Tutu,3969,179.339
3357,2019,Luis Fonsi + Ozuna,Imposible,3983,164.533
3358,2019,Bad Bunny Featuring Diplo,200 MPH,3991,170.509
3359,2019,J Balvin,Reggaeton,3997,222.56
3360,2019,Becky G X Myke Towers,Dollar,3999,208.746
3361,2019,Manuel Turizo X Ozuna,Esclavo de Tus Besos,4011,219.302
3362,2019,Calibre 50,Por Que Cambiaste de Opinion?,4015,241.906
